Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1955,2.3,0.9,2.8,8.8,9.2,13.2,16.8,17.4,13.9,8.9,6.8,5.3,3.2,6.91,15.84,9.84,8.91
1956,3.3,-0.7,5.7,6.1,11.3,12.6,15.3,13.2,13.9,9.2,5.7,5.4,2.7,7.73,13.71,9.61,8.46
1957,5,4.8,8.6,8.2,9.9,14.6,16,15,12.2,10.5,6.1,4,5.09,8.93,15.22,9.6,9.62
1958,3,4.4,3.3,6.9,10.7,13.2,15.4,15.5,14.6,10.5,6.1,4.3,3.79,6.95,14.69,10.39,9.01
1959,1.4,4,6.8,9,11.8,14.6,16.8,16.9,14.6,12.1,6.6,5.5,3.23,9.2,16.09,11.1,10.04
1960,3.6,3.6,5.8,8.5,12.2,15.3,14.7,14.6,12.8,10,6.8,3.6,4.23,8.82,14.85,9.85,9.29
1961,3.2,6.5,7.8,9.5,10.5,14.1,14.8,15.1,14.8,10.5,5.9,2.2,4.36,9.23,14.67,10.36,9.56
1962,3.9,4,2.3,7.2,9.6,13.1,14.3,14.1,12.3,10.1,5.1,1.7,3.35,6.38,13.82,9.18,8.16
1963,-2.3,-1.2,5.4,7.9,10,14.2,14.6,13.9,12.7,10.4,7.6,2.3,-0.56,7.77,14.2,10.23,8.01
1964,2.8,4,3.7,8.2,12.6,13.4,15.6,15.2,13.8,8.4,7.1,3,3.02,8.18,14.75,9.76,9
1965,3,2.8,4.8,7.7,11,13.8,13.5,14.5,12,10.6,4.2,4.1,2.95,7.81,13.93,8.96,8.53
1966,2.4,5.2,6.1,6.8,10.6,14.8,14.5,14.4,13.6,10,5.1,4.8,3.85,7.87,14.56,9.56,9.05
1967,3.9,5,6.7,7.4,9.9,13.7,16.3,15.3,13.3,10.4,5.1,3.7,4.55,8,15.11,9.6,9.25
1968,3.8,1.7,6,7.6,9.4,14.3,14.5,15.1,13.5,12.1,6.2,2.7,3.11,7.66,14.6,10.62,8.92
1969,5.1,0.5,3.1,7.1,10.7,13.4,16.4,15.8,13.6,12.5,5,2.9,2.85,6.98,15.23,10.37,8.9
1970,3.4,2.6,3.3,6.2,12.2,15.6,14.8,15.6,14.1,10.3,7.3,3.8,2.99,7.27,15.32,10.56,9.14
1971,4.1,4.3,4.7,7.2,11,12,16.5,15.4,13.9,11.1,5.7,6.1,4.06,7.64,14.65,10.21,9.36
1972,3.4,3.9,6.2,8,10.1,11.4,15,14.7,11.4,10.2,5.9,5.3,4.49,8.09,13.75,9.18,8.82
1973,4.1,4,5.9,6.7,10.9,14.5,15.3,16.2,14,8.9,5.6,4.5,4.46,7.83,15.33,9.48,9.24
1974,5.5,5.1,5.2,7.5,10.4,13.2,14.6,14.8,11.7,7.3,6.3,7.3,5.03,7.71,14.22,8.41,9.1
1975,6.2,4.3,4.4,7.8,9.3,14,16.8,18,13,9.6,5.8,4.5,5.99,7.18,16.28,9.44,9.51
1976,5.1,4.1,4.4,7.5,11.4,16.4,17.7,16.8,12.9,10.3,5.7,1.8,4.59,7.77,17.01,9.65,9.53
1977,2.3,4.7,6.5,6.7,10,11.9,15.3,14.8,12.8,11.3,6,5.7,2.88,7.74,14.04,10.04,9.04
1978,2.8,2,6.2,5.9,10.9,13.2,14.3,14.6,13.6,11.4,8,3.7,3.57,7.71,14.03,11.02,8.94
1979,-0.4,0.9,4.2,7.3,9.5,13.5,15.6,14.5,13,10.9,6.3,5.3,1.43,7.01,14.57,10.05,8.43
1980,1.9,5.3,4.4,8.2,10.5,13.5,14.1,15.5,14.3,8.6,6,5.1,4.17,7.67,14.36,9.64,8.95
1981,4.2,2.7,7.4,7.3,10.9,12.9,15.2,15.9,14.2,7.9,7.2,0.2,4.04,8.54,14.72,9.75,8.88
1982,2.5,4.5,5.7,8.2,11.1,14.9,16,15.5,14,9.8,7.5,3.9,2.35,8.3,15.49,10.44,9.49
1983,6.1,1.5,6,6.4,9.7,13.9,18.7,16.9,13.3,10,7.1,5.3,3.93,7.4,16.53,10.17,9.65
1984,3.3,3.2,4.4,7.6,9.4,14,16.1,17,13.3,10.8,7.7,4.9,3.97,7.12,15.72,10.58,9.33
1985,0.5,2.1,4.3,8,10.4,12.2,15.7,14.3,14.1,10.7,3.7,6.1,2.52,7.57,14.11,9.54,8.56
1986,3.1,-1.3,4.7,5.5,10.7,14.2,15.5,13.3,11.1,10.6,7.4,5.5,2.75,6.96,14.35,9.68,8.42
1987,0.5,3.4,3.8,9.6,9.7,12.5,15.5,15.3,13.4,9.5,6.3,5.4,3.15,7.69,14.45,9.72,8.77
1988,5,4.4,5.9,7.8,11.4,13.9,14.4,15,13,10.3,5.2,6.9,4.95,8.35,14.47,9.49,9.45
1989,5.8,5.6,7.1,6.2,12.6,14.1,17.7,16.3,14.4,11.5,6.2,4.8,6.11,8.65,16.03,10.7,10.21
1990,6.2,7.1,8,7.7,12.2,13.3,16.3,17.7,12.8,11.6,6.5,4.1,5.98,9.31,15.8,10.32,10.32
1991,3,1.4,7.5,7.5,10.4,11.8,16.8,16.8,14.3,9.8,6.3,4.4,2.9,8.5,15.18,10.11,9.23
1992,3.4,5.1,6.9,8.3,13,15.3,16,15.2,13.1,7.4,7,3.5,4.29,9.42,15.49,9.15,9.53
1993,5.5,4.5,6.2,9.1,11.1,14.5,15,14.3,12.1,8.1,4.5,5,4.5,8.78,14.57,8.23,9.17
1994,4.8,2.9,7.2,7.8,10.2,14.1,17.5,15.7,12.4,9.8,9.5,6.1,4.26,8.39,15.76,10.56,9.86
1995,4.2,6.1,5.1,8.5,11.3,13.7,18,18.5,13.3,12.6,7.4,2.2,5.42,8.29,16.76,11.1,10.09
1996,4,2.3,4,8,8.7,13.9,16,16.2,13.2,11.1,5.4,2.7,2.82,6.92,15.36,9.93,8.82
1997,2,6.2,7.9,8.5,11.1,13.7,16.3,18.5,13.8,10,8.2,5.6,3.54,9.18,16.17,10.64,10.16
1998,4.8,6.9,7.6,7.6,12.6,13.9,15.2,15.6,14.4,10.2,5.6,5.3,5.76,9.28,14.92,10.05,10
1999,5.3,4.8,7,9.1,12.6,13.5,17.2,16,15.4,10.4,7.4,4.3,5.13,9.57,15.58,11.06,10.29
2000,4.6,5.8,7.1,7.6,11.7,14.5,14.9,16.4,14.5,10.1,6.6,5.3,4.89,8.83,15.29,10.39,9.95
2001,3.2,4.2,5,7.4,12.1,13.8,16.7,16.6,13.1,13.1,7.1,3.4,4.24,8.15,15.72,11.14,9.67
2002,5.3,6.6,7.2,8.9,11.6,14,15.6,16.8,14,9.8,8.2,5.4,5.05,9.26,15.5,10.67,10.32
2003,4.2,3.8,7.3,9.3,11.8,15.7,17.2,17.8,14.1,9,8,4.7,4.5,9.45,16.91,10.34,10.27
2004,4.9,5.1,6.2,9.2,11.8,15.1,15.6,17.2,14.5,10.4,7.5,5.2,4.92,9.09,15.99,10.8,10.25
2005,5.7,4,6.8,8.7,11.1,15.2,16.5,15.9,14.9,12.8,6.1,4.2,5.01,8.86,15.87,11.29,10.21
2006,4.1,3.7,4.6,8.3,11.9,15.6,19.3,16,16.5,12.8,7.9,6.1,3.99,8.28,17,12.41,10.61
2007,6.7,5.8,7,11,11.7,14.8,15.3,15.5,13.8,10.7,7.2,4.8,6.2,9.91,15.19,10.57,10.38
2008,6.3,5.3,5.9,7.8,13,14,16.2,16.2,13.3,9.6,6.9,3.5,5.45,8.9,15.48,9.92,9.84
2009,2.9,4,6.8,9.6,11.9,14.6,16.1,16.6,14.2,11.3,8.3,3,3.45,9.41,15.78,11.25,9.96
2010,1.2,2.6,5.9,8.7,10.6,15.1,17.1,15.3,13.7,10.2,5.2,-0.4,2.26,8.39,15.84,9.71,8.8
2011,3.7,6.2,6.5,11.6,12.1,13.9,15.1,15.4,15,12.3,9.3,5.6,3.03,10.05,14.82,12.2,10.58
2012,5.3,3.9,8.1,7.1,11.5,13.4,15.3,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
